Date,SQ,REA.AX,WTC.AX,XRO.AX,CPU.AX,SEK.AX,CAR.AX,NXT.AX,PME.AX,ALU.AX
2018-12-31,56.09000015258789,,,,,,,,,
2019-01-01,,71.51531982421875,16.933731079101562,41.95000076293945,15.417189598083496,15.56486701965332,9.803982734680176,6.079999923706055,11.212162971496582,20.729251861572266
2019-01-02,57.20000076293945,71.92942810058594,17.10276985168457,42.09000015258789,15.417189598083496,15.829963684082031,9.967686653137209,6.059999942779541,11.733887672424316,20.758026123046875
2019-01-03,52.41999816894531,69.71443939208984,16.37689208984375,40.900001525878906,15.081637382507324,15.508060455322266,9.813076972961426,5.889999866485596,11.418883323669434,19.942670822143555
2019-01-04,58.18000030517578,,,,,,,,,
2019-01-06,,71.29383087158203,17.29169273376465,41.90999984741211,15.353707313537598,15.981444358825684,10.004064559936523,6.21999979019165,11.70435619354248,20.470252990722656
2019-01-07,60.720001220703125,71.02416229248047,17.868412017822266,43.52000045776367,15.498807907104492,16.189733505249023,10.19505214691162,6.260000228881836,11.615761756896973,20.99783515930176
2019-01-08,63.119998931884766,72.36280059814453,18.395416259765625,43.5,15.861568450927734,16.388553619384766,10.449698448181152,6.28000020980835,12.029204368591309,21.650121688842773
2019-01-09,65.93000030517578,70.7448959350586,18.74344062805176,43.0,15.761808395385742,16.407489776611328,10.304186820983888,6.269999980926514,12.009516716003418,21.72686195373535
2019-01-10,66.0999984741211,69.52183532714844,19.0218563079834,42.65999984741211,15.643913269042969,16.265474319458008,10.331470489501951,6.340000152587891,12.029204368591309,22.22566795349121
2019-01-11,66.2300033569336,,,,,,,,,
2019-01-13,,71.00492095947266,19.001968383789062,42.0,15.779946327209473,16.218137741088867,10.458794593811035,6.519999980926514,12.787181854248049,22.43670082092285
2019-01-14,65.18000030517578,70.59081268310547,18.972139358520508,42.34999847412109,15.734601020812988,16.41695785522461,10.476984024047852,6.539999961853027,12.895464897155762,22.455888748168945
2019-01-15,65.95999908447266,72.70950317382812,19.62840843200684,42.95000076293945,16.070152282714844,16.56844139099121,10.586118698120115,6.610000133514404,13.013590812683104,22.695695877075195
2019-01-16,65.9000015258789,73.86514282226562,19.220726013183597,42.45000076293945,16.36942481994629,16.445362091064453,10.70434856414795,6.539999961853027,13.397500038146973,22.628549575805664
2019-01-17,68.83999633789062,74.4429702758789,19.25055885314941,42.130001068115234,16.514530181884766,16.502168655395508,10.913524627685549,6.590000152587891,13.367969512939451,23.06980323791504
2019-01-18,72.23999786376953,,,,,,,,,
2019-01-20,,74.5103759765625,19.5886344909668,42.2400016784668,16.197114944458008,16.68205451965332,11.168173789978027,6.679999828338623,12.65921115875244,22.983470916748047
2019-01-21,,73.92292785644531,19.638351440429688,42.59000015258789,16.188047409057617,16.644184112548828,11.140889167785645,6.670000076293945,12.816712379455566,23.031435012817383
2019-01-22,67.8499984741211,73.39326477050781,19.359935760498047,42.20000076293945,16.151771545410156,16.729394912719727,11.29549789428711,6.670000076293945,12.74780559539795,22.897140502929688
2019-01-23,69.0999984741211,73.00802612304688,19.638351440429688,42.0099983215332,16.242462158203125,16.615779876708984,11.31368637084961,6.699999809265137,12.60014820098877,23.232872009277344
2019-01-24,73.94000244140625,73.1910171508789,20.18524169921875,42.29999923706055,16.33315086364746,16.861940383911133,11.459202766418455,6.849999904632568,12.452489852905272,23.933120727539062
2019-01-25,77.97000122070312,,,,,,,,,
2019-01-28,76.22000122070312,73.07544708251953,19.86705017089844,41.81999969482422,15.988529205322266,16.360153198242188,11.413728713989258,6.809999942779541,12.31467628479004,23.64534950256348
2019-01-29,68.55999755859375,72.32427978515625,19.37982177734375,40.02000045776367,16.033876419067383,16.360153198242188,11.304593086242676,6.690000057220459,11.832327842712402,23.031435012817383
2019-01-30,71.52999877929688,72.9213638305664,20.225017547607425,43.52999877929688,16.115495681762695,16.085588455200195,11.468294143676758,6.849999904632568,11.920921325683594,23.933120727539062
2019-01-31,71.3499984741211,72.68061065673828,20.553152084350582,43.29999923706055,16.23339080810547,15.735284805297852,11.304593086242676,6.860000133514404,12.501709938049316,24.057823181152344
2019-02-01,70.80000305175781,,,,,,,,,
2019-02-03,,73.30657958984375,20.215076446533203,42.15999984741211,16.106426239013672,15.981444358825684,11.340971946716309,6.840000152587891,12.797025680541992,24.604589462280277
2019-02-04,71.75,74.22146606445312,20.334396362304688,43.790000915527344,16.115495681762695,16.331748962402344,11.413728713989258,6.869999885559082,12.934840202331545,24.48948097229004
2019-02-05,72.27999877929688,73.14286041259766,21.03043937683105,45.0,16.514530181884766,16.388553619384766,11.095416069030762,6.889999866485596,12.787181854248049,25.429542541503903
2019-02-06,72.66999816894531,75.0593032836914,21.57733154296875,46.220001220703125,16.596149444580078,16.729394912719727,11.22274112701416,6.869999885559082,12.9545259475708,25.784460067749023
2019-02-07,71.94999694824219,71.32270812988281,21.13981819152832,45.900001525878906,16.650564193725586,16.41695785522461,11.04994297027588,6.849999904632568,12.993903160095217,25.39116859436035
2019-02-08,73.48999786376953,,,,,,,,,
2019-02-10,,70.00335693359375,21.57733154296875,45.97999954223633,16.596149444580078,16.322282791137695,10.886241912841797,6.869999885559082,13.308905601501465,25.525466918945312
2019-02-11,74.31999969482422,73.16212463378906,22.08444595336914,46.75,16.142702102661133,16.454830169677734,11.077227592468262,6.849999904632568,13.13171672821045,25.602205276489254
2019-02-12,75.58999633789062,73.04656219482422,22.134164810180664,47.72999954223633,17.094942092895508,16.445362091064453,10.476984024047852,6.960000038146973,13.682973861694336,25.784460067749023
